Entry	EC number	genus
RS_GCF_003254115.1	1004300	1004304
RS_GCF_001623405.1_rep1	1004300	714549
RS_GCF_003254115.1_rep7	1004300	1004304
GB_GCA_027364735.1_rep0	1004300	2881279
RS_GCF_001623405.1_rep5	1004300	714549
RS_GCF_003254115.1_rep2	1004300	1004304
RS_GCF_001623405.1_rep7	1004300	714549
RS_GCF_001623405.1_rep0	1004300	714549
RS_GCF_027347335.1_rep0	1004300	2881279
RS_GCF_003254115.1_rep4	1004300	1004304
RS_GCF_003254115.1_rep3	1004300	1004304
RS_GCF_001601815.1	1004301	1812911
RS_GCF_020076305.1	1004301	2716883
RS_GCF_000814475.1	1004301	1349421
RS_GCF_014332695.1	1004301	1834163
RS_GCF_000974785.1	1004301	1220578
RS_GCF_000814325.1	1004301	1463156
RS_GCF_018595685.2	1004301	2838156
GB_GCA_010692725.1	1004301	2705549
GB_GCA_025455285.1	1004301	1913981
RS_GCF_022352215.1	1004301	1442385
GB_GCA_946482545.1	1004301	1145287
GB_GCA_902168225.1	1004301	1145287
RS_GCF_021491375.1	1004301	2909236
GB_GCA_902168105.1	1004301	1145287
RS_GCF_023721715.1_rep4	1004302	2942999
RS_GCF_023721715.1	1004302	2942999
RS_GCF_023721715.1_rep3	1004302	2942999
RS_GCF_023721715.1_rep2	1004302	2942999
RS_GCF_023721715.1_rep5	1004302	2942999
RS_GCF_023721715.1_rep0	1004302	2942999
RS_GCF_023721715.1_rep7	1004302	2942999
RS_GCF_023721715.1_rep8	1004302	2942999
GB_GCA_025352695.1	1004303	1940288
RS_GCF_024343615.1	1004303	2487334
GB_GCA_019638575.1	1004303	1940288
GB_GCA_030831945.1	1004303	1940288
GB_GCA_028288705.1	1004303	1940288
GB_GCA_019638635.1	1004303	1940288
GB_GCA_014377385.1	1004303	1940288
GB_GCA_025350645.1	1004303	1940288
GB_GCA_018882645.1	1004303	1940288
GB_GCA_013141115.1	1004303	1940288
GB_GCA_030157685.1	1004303	1940288
RS_GCF_014377975.1	1004303	1940288
GB_GCA_025357775.1	1004303	1940288
GB_GCA_025362235.1	1004303	1940288
GB_GCA_014379905.1	1004303	1940288
GB_GCA_030831725.1	1004303	1940288
GB_GCA_025352435.1	1004303	1940288
GB_GCA_025352625.1	1004303	1940288
GB_GCA_016786725.1	1004303	1940288
GB_GCA_017988335.1	1004303	1940288
RS_GCF_020783315.1	1004303	563172
GB_GCA_025362765.1	1004303	1940288
RS_GCF_028288465.1	1004303	1940288
GB_GCA_025352525.1	1004303	1940288
GB_GCA_019638485.1	1004303	1940288
GB_GCA_013141435.1	1004303	1940288
GB_GCA_025359625.1	1004303	1940288
GB_GCA_014379625.1	1004303	1940288
GB_GCA_945952345.1_rep3	1005038	1936177
GB_GCA_945952345.1_rep7	1005038	1936177
GB_GCA_945952345.1_rep1	1005038	1936177
RS_GCF_000724625.1	1005038	661478
GB_GCA_031292555.1	1005038	1936159
GB_GCA_029866005.1_rep0	1005038	1936159
GB_GCA_945881865.1_rep1	1005038	661478
GB_GCA_029866005.1	1005038	1936159
GB_GCA_945952345.1_rep4	1005038	1936177
RS_GCF_000724625.1_rep3	1005038	661478
GB_GCA_016179045.1	1005038	1005039
GB_GCA_945952345.1	1005038	1936177
GB_GCA_016179045.1_rep1	1005038	1005039
GB_GCA_945881865.1	1005038	661478
GB_GCA_945881865.1_rep3	1005038	661478
GB_GCA_016179045.1_rep5	1005038	1005039
RS_GCF_000724625.1_rep2	1005038	661478
GB_GCA_945952345.1_rep6	1005038	1936177
GB_GCA_945952345.1_rep8	1005038	1936177
GB_GCA_945952345.1_rep0	1005038	1936177
GB_GCA_945881865.1_rep2	1005038	661478
GB_GCA_016179045.1_rep3	1005038	1005039
RS_GCF_000724625.1_rep1	1005038	661478
GB_GCA_016179045.1_rep6	1005038	1005039
GB_GCA_031292555.1_rep0	1005038	1936159
GB_GCA_016179045.1_rep8	1005038	1005039
GB_GCA_016179045.1_rep0	1005038	1005039
GB_GCA_012033015.1_rep7	1005722	2720422
GB_GCA_012033015.1	1005722	2720422
GB_GCA_003242115.1_rep7	1005722	268141
GB_GCA_003242115.1_rep5	1005722	268141
RS_GCF_001895925.1_rep6	1005722	1920490
GB_GCA_001314865.1_rep3	1005722	1666911
GB_GCA_001314865.1_rep1	1005722	1666911
RS_GCF_001650195.1	1005722	1850361
GB_GCA_001314865.1_rep2	1005722	1666911
GB_GCA_001314865.1_rep7	1005722	1666911
RS_GCF_001895925.1_rep0	1005722	1920490
GB_GCA_001314865.1_rep6	1005722	1666911
RS_GCF_001650195.1_rep6	1005722	1850361
RS_GCF_001895925.1_rep5	1005722	1920490
RS_GCF_015207105.1_rep0	1005722	1828680
RS_GCF_015207105.1_rep6	1005722	1828680
RS_GCF_015207105.1_rep1	1005722	1828680
RS_GCF_015207105.1_rep5	1005722	1828680
GB_GCA_003242115.1_rep1	1005722	268141
RS_GCF_015207105.1_rep7	1005722	1828680
RS_GCF_015207105.1_rep2	1005722	1828680
GB_GCA_012033015.1_rep4	1005722	2720422
GB_GCA_012033015.1_rep8	1005722	2720422
RS_GCF_001650195.1_rep4	1005722	1850361
GB_GCA_003242115.1_rep3	1005722	268141
GB_GCA_012033015.1_rep5	1005722	2720422
RS_GCF_001650195.1_rep8	1005722	1850361
RS_GCF_015207105.1_rep4	1005722	1828680
RS_GCF_001895925.1_rep7	1005722	1920490
RS_GCF_001895925.1	1005722	1920490
RS_GCF_001895925.1_rep4	1005722	1920490
GB_GCA_001314865.1	1005722	1666911
RS_GCF_001650195.1_rep7	1005722	1850361
RS_GCF_001895925.1_rep8	1005722	1920490
GB_GCA_003242115.1_rep6	1005722	268141
GB_GCA_003242115.1_rep2	1005722	268141
RS_GCF_001650195.1_rep1	1005722	1850361
RS_GCF_015207105.1_rep8	1005722	1828680
GB_GCA_001314865.1_rep8	1005722	1666911
GB_GCA_003242115.1_rep0	1005722	268141
RS_GCF_001895925.1_rep2	1005722	1920490
GB_GCA_012033015.1_rep3	1005722	2720422
GB_GCA_003242115.1_rep4	1005722	268141
GB_GCA_003242115.1_rep8	1005722	268141
GB_GCA_001314865.1_rep5	1005722	1666911
GB_GCA_012033015.1_rep6	1005722	2720422
RS_GCF_001650195.1_rep2	1005722	1850361
RS_GCF_001895925.1_rep3	1005722	1920490
RS_GCF_025999835.1_rep4	1006480	671077
RS_GCF_025999835.1	1006480	671077
RS_GCF_025999835.1_rep2	1006480	671077
RS_GCF_025999835.1_rep7	1006480	671077
RS_GCF_025999835.1_rep6	1006480	671077
RS_GCF_025999835.1_rep5	1006480	671077
RS_GCF_025999835.1_rep0	1006480	671077
RS_GCF_025999835.1_rep1	1006480	671077
RS_GCF_021608135.1_rep4	1006481	674972
RS_GCF_021608135.1	1006481	674972
RS_GCF_021608135.1_rep0	1006481	674972
RS_GCF_021608135.1_rep5	1006481	674972
RS_GCF_021608135.1_rep1	1006481	674972
RS_GCF_021608135.1_rep6	1006481	674972
RS_GCF_021608135.1_rep2	1006481	674972
RS_GCF_021608135.1_rep8	1006481	674972
RS_GCF_000275825.1_rep1	1007	694433
RS_GCF_028464065.1_rep3	1007	3023936
RS_GCF_027594745.1_rep6	1007	1008
RS_GCF_000275825.1	1007	694433
RS_GCF_028464065.1_rep7	1007	3023936
RS_GCF_027594745.1_rep4	1007	1008
RS_GCF_000275825.1_rep0	1007	694433
RS_GCF_028464065.1_rep5	1007	3023936
RS_GCF_028464065.1_rep4	1007	3023936
GB_GCA_945888475.1_rep2	1007	694433
GB_GCA_945888475.1	1007	694433
RS_GCF_028464065.1	1007	3023936
GB_GCA_945888475.1_rep0	1007	694433
RS_GCF_027594745.1	1007	1008
RS_GCF_027594745.1_rep1	1007	1008
RS_GCF_000275825.1_rep3	1007	694433
RS_GCF_027594745.1_rep5	1007	1008
RS_GCF_028464065.1_rep8	1007	3023936
RS_GCF_028464065.1_rep1	1007	3023936
RS_GCF_027594745.1_rep8	1007	1008
GB_GCA_945888475.1_rep3	1007	694433
RS_GCF_028464065.1_rep2	1007	3023936
RS_GCF_027594745.1_rep7	1007	1008
RS_GCF_027594745.1_rep3	1007	1008
GB_GCA_013140415.1	1007082	2026886
GB_GCA_016844465.1	1007082	2026886
GB_GCA_003569705.1	1007082	2026886
GB_GCA_938049695.1	1007082	1501411
GB_GCA_004297665.1	1007082	2026886
GB_GCA_018334095.1	1007082	2026886
GB_GCA_021414365.1	1007082	2026886
GB_GCA_023265135.1	1007082	2026886
RS_GCF_000220175.1	1007082	1001994
GB_GCA_020431985.1	1007082	2026886
GB_GCA_021414105.1	1007082	2026886
GB_GCA_023264875.1	1007082	2026886
GB_GCA_000204585.1	1007082	886738
GB_GCA_009697485.1	1007082	2026886
GB_GCA_020720105.1_rep3	100715	100716
RS_GCF_000020525.1_rep2	100715	517418
GB_GCA_020720105.1_rep2	100715	100716
GB_GCA_020722095.1_rep3	100715	100716
RS_GCF_000020525.1_rep3	100715	517418
GB_GCA_020722095.1_rep2	100715	100716
RS_GCF_000020525.1_rep8	100715	517418
RS_GCF_000020525.1	100715	517418
GB_GCA_020722095.1_rep0	100715	100716
GB_GCA_020722095.1_rep1	100715	100716
RS_GCF_000020525.1_rep1	100715	517418
RS_GCF_000020525.1_rep7	100715	517418
GB_GCA_020720105.1_rep0	100715	100716
GB_GCA_020720105.1_rep1	100715	100716
RS_GCF_000020525.1_rep6	100715	517418
RS_GCF_000020525.1_rep4	100715	517418
RS_GCF_014203025.1_rep5	1007342	682562
RS_GCF_014203025.1	1007342	682562
RS_GCF_014203025.1_rep6	1007342	682562
RS_GCF_014203025.1_rep7	1007342	682562
RS_GCF_014203025.1_rep4	1007342	682562
RS_GCF_014203025.1_rep2	1007342	682562
RS_GCF_014203025.1_rep0	1007342	682562
RS_GCF_014203025.1_rep3	1007342	682562
RS_GCF_900113245.1_rep2	1008195	553467
RS_GCF_900100875.1_rep1	1008195	1236180
RS_GCF_900113245.1_rep0	1008195	553467
RS_GCF_900100875.1_rep6	1008195	1236180
RS_GCF_900113245.1_rep4	1008195	553467
RS_GCF_900113245.1_rep8	1008195	553467
RS_GCF_900113245.1_rep5	1008195	553467
RS_GCF_900113245.1_rep1	1008195	553467
RS_GCF_900113245.1_rep6	1008195	553467
RS_GCF_900100875.1_rep4	1008195	1236180
RS_GCF_900100875.1_rep0	1008195	1236180
RS_GCF_900100875.1_rep5	1008195	1236180
RS_GCF_900113245.1_rep7	1008195	553467
RS_GCF_900100875.1_rep2	1008195	1236180
RS_GCF_900100875.1_rep7	1008195	1236180
RS_GCF_900113245.1_rep3	1008195	553467
RS_GCF_030056705.1_rep2	101	2984207
GB_GCA_023255485.1_rep4	101	50419
RS_GCF_030056705.1_rep6	101	2984207
RS_GCF_030056705.1_rep5	101	2984207
GB_GCA_023255485.1_rep2	101	50419
RS_GCF_000427405.1_rep2	101	929703
RS_GCF_030056665.1_rep2	101	502259
RS_GCF_030056665.1_rep0	101	502259
RS_GCF_030056665.1_rep3	101	502259
RS_GCF_030056705.1_rep3	101	2984207
RS_GCF_030056705.1	101	2984207
RS_GCF_030056705.1_rep0	101	2984207
RS_GCF_000427405.1_rep5	101	929703
RS_GCF_030056705.1_rep4	101	2984207
RS_GCF_030056665.1	101	502259
GB_GCA_023255485.1_rep0	101	50419
GB_GCA_023255485.1_rep3	101	50419
RS_GCF_000427405.1	101	929703
RS_GCF_000427405.1_rep1	101	929703
RS_GCF_030056705.1_rep1	101	2984207
GB_GCA_023255485.1	101	50419
RS_GCF_030056665.1_rep8	101	502259
RS_GCF_000427405.1_rep0	101	929703
RS_GCF_000427405.1_rep4	101	929703
RS_GCF_000427405.1_rep8	101	929703
RS_GCF_030056705.1_rep8	101	2984207
RS_GCF_030056665.1_rep6	101	502259
RS_GCF_030056665.1_rep5	101	502259
GB_GCA_023255485.1_rep6	101	50419
GB_GCA_023255485.1_rep5	101	50419
RS_GCF_030056665.1_rep7	101	502259
GB_GCA_023255485.1_rep8	101	50419
RS_GCF_017745095.1_rep0	1011	2231183
GB_GCA_024707265.1_rep3	1011	2231183
RS_GCF_000775915.1_rep8	1011	153721
RS_GCF_000426725.1	1011	926565
RS_GCF_000775915.1_rep4	1011	153721
RS_GCF_000775915.1_rep7	1011	153721
RS_GCF_000775915.1_rep0	1011	153721
RS_GCF_017745095.1_rep2	1011	2231183
GB_GCA_024707265.1_rep1	1011	2231183
RS_GCF_000426725.1_rep5	1011	926565
RS_GCF_000775915.1	1011	153721
GB_GCA_024707265.1	1011	2231183
RS_GCF_000426725.1_rep0	1011	926565
RS_GCF_017745095.1	1011	2231183
RS_GCF_000775915.1_rep6	1011	153721
GB_GCA_024707265.1_rep2	1011	2231183
RS_GCF_000775915.1_rep2	1011	153721
RS_GCF_017745095.1_rep3	1011	2231183
RS_GCF_000426725.1_rep6	1011	926565
RS_GCF_000426725.1_rep3	1011	926565
RS_GCF_000775915.1_rep1	1011	153721
RS_GCF_000426725.1_rep7	1011	926565
RS_GCF_000426725.1_rep1	1011	926565
GB_GCA_024707265.1_rep0	1011	2231183
RS_GCF_000328665.1_rep3	101191	867904
RS_GCF_002067275.1_rep5	101191	1811679
GB_GCA_014361205.1	101191	2758717
RS_GCF_000328665.1_rep7	101191	867904
RS_GCF_002067275.1_rep7	101191	1811679
RS_GCF_002067275.1	101191	1811679
RS_GCF_000328665.1_rep4	101191	867904
RS_GCF_000328665.1_rep8	101191	867904
GB_GCA_020854785.1	101191	2758717
RS_GCF_000328665.1_rep5	101191	867904
RS_GCF_002067275.1_rep2	101191	1811679
GB_GCA_014361205.1_rep0	101191	2758717
GB_GCA_020854785.1_rep0	101191	2758717
RS_GCF_000328665.1_rep0	101191	867904
RS_GCF_000328665.1_rep6	101191	867904
RS_GCF_002067275.1_rep4	101191	1811679
RS_GCF_002067275.1_rep8	101191	1811679
RS_GCF_002067275.1_rep6	101191	1811679
RS_GCF_000328665.1_rep1	101191	867904
RS_GCF_000189415.1_rep0	1013	865938
GB_GCA_000751595.1_rep3	1013	1461577
GB_GCA_000751595.1_rep4	1013	1461577
GB_GCA_000751595.1_rep7	1013	1461577
GB_GCA_000751595.1_rep2	1013	1461577
GB_GCA_000751595.1_rep8	1013	1461577
RS_GCF_000189415.1_rep2	1013	865938
GB_GCA_000751595.1_rep1	1013	1461577
RS_GCF_000189415.1_rep4	1013	865938
RS_GCF_000189415.1_rep8	1013	865938
RS_GCF_000189415.1_rep1	1013	865938
GB_GCA_000751595.1_rep5	1013	1461577
GB_GCA_000751595.1_rep0	1013	1461577
RS_GCF_000189415.1_rep5	1013	865938
RS_GCF_000189415.1_rep3	1013	865938
RS_GCF_000189415.1_rep7	1013	865938
RS_GCF_017565765.1	1016	2819369
RS_GCF_000411115.1	1016	641143
GB_GCA_030538675.1	1016	44737
RS_GCF_000466425.1	1016	1227266
GB_GCA_030530525.1	1016	44737
GB_GCA_915070235.1	1016	159273
RS_GCF_938018165.1	1016	327575
RS_GCF_000827555.1	1016	1848903
RS_GCF_001553545.1	1016	45243
GB_GCA_030523915.1	1016	44737
RS_GCF_000192225.1	1016	888059
RS_GCF_002999135.1	1016	1316596
RS_GCF_003054025.1	1016	327575
RS_GCF_030532915.1	1016	44737
RS_GCF_000023285.1	1016	521097
RS_GCF_026005215.1	1016	1004260
RS_GCF_000379185.1	1016	926551
GB_GCA_937919265.1	1016	159273
RS_GCF_000174755.1	1016	553178
GB_GCA_905372595.1	1016	159273
RS_GCF_004342915.1_rep2	1017183	659006
RS_GCF_004342915.1_rep1	1017183	659006
RS_GCF_004342915.1_rep6	1017183	659006
RS_GCF_004342915.1_rep4	1017183	659006
RS_GCF_004342915.1_rep0	1017183	659006
RS_GCF_014656355.1_rep8	1017183	1576911
RS_GCF_014656355.1_rep2	1017183	1576911
RS_GCF_014656355.1_rep4	1017183	1576911
RS_GCF_014656355.1_rep5	1017183	1576911
RS_GCF_014656355.1_rep6	1017183	1576911
RS_GCF_004342915.1_rep5	1017183	659006
RS_GCF_014656355.1_rep1	1017183	1576911
RS_GCF_004342915.1_rep7	1017183	659006
RS_GCF_004342915.1_rep8	1017183	659006
RS_GCF_014656355.1_rep0	1017183	1576911
RS_GCF_014656355.1_rep7	1017183	1576911
GB_GCA_947425785.1	1017280	1221379
RS_GCF_014982855.1	1017280	2779352
RS_GCF_009911645.1	1017280	2304576
RS_GCF_016901955.1	1017280	1870988
RS_GCF_016901735.1	1017280	1870988
RS_GCF_009935845.1	1017280	2304577
GB_GCA_900169975.1	1017280	1871015
RS_GCF_904419835.1	1017280	1221379
RS_GCF_000169255.2	1017280	411467
RS_GCF_002161235.1	1017280	1965661
RS_GCF_016899775.1	1017280	106588
RS_GCF_021531815.1	1017280	1870988
RS_GCF_030372275.1	1017280	1870988
RS_GCF_003478995.1	1017280	2292244
RS_GCF_018917965.1	1017280	2841531
RS_GCF_944387805.1	1017280	1221379
GB_GCA_947644625.1	1017280	1221379
RS_GCF_018918045.1	1017280	2841525
GB_GCA_947651395.1	1017280	1221379
GB_GCA_947565875.1	1017280	1221379
RS_GCF_001305575.3_rep0	1021	288004
RS_GCF_000245015.1_rep6	1021	395493
GB_GCA_003245895.1_rep8	1021	1962953
GB_GCA_003245895.1	1021	1962953
RS_GCF_001305575.3_rep4	1021	288004
GB_GCA_003245895.1_rep7	1021	1962953
RS_GCF_001305575.3_rep3	1021	288004
GB_GCA_003245895.1_rep3	1021	1962953
GB_GCA_003245895.1_rep2	1021	1962953
RS_GCF_001305575.3_rep2	1021	288004
RS_GCF_001305575.3	1021	288004
RS_GCF_000245015.1	1021	395493
RS_GCF_000245015.1_rep8	1021	395493
GB_GCA_003245895.1_rep1	1021	1962953
RS_GCF_001305575.3_rep8	1021	288004
GB_GCA_003245895.1_rep5	1021	1962953
RS_GCF_000245015.1_rep5	1021	395493
RS_GCF_001305575.3_rep5	1021	288004
RS_GCF_000245015.1_rep4	1021	395493
GB_GCA_003245895.1_rep6	1021	1962953
GB_GCA_003245895.1_rep0	1021	1962953
RS_GCF_000245015.1_rep7	1021	395493
RS_GCF_000245015.1_rep2	1021	395493
RS_GCF_000245015.1_rep3	1021	395493
GB_GCA_900541645.1	102106	165190
GB_GCA_902474645.1	102106	165190
GB_GCA_900539735.1	102106	165190
GB_GCA_900552385.1	102106	165190
GB_GCA_900549745.1	102106	165190
GB_GCA_902478765.1	102106	165190
GB_GCA_905208975.1	102106	165190
GB_GCA_902475595.1	102106	165190
GB_GCA_905196265.1	102106	165190
RS_GCF_028209625.1	102106	74426
GB_GCA_900556515.1	102106	165190
GB_GCA_018382125.1	102106	1965294
GB_GCA_900754445.1	102106	165190
GB_GCA_902489775.1	102106	165190
GB_GCA_934655755.1	102106	165190
GB_GCA_902470125.1	102106	165190
GB_GCA_900752215.1	102106	165190
GB_GCA_900549575.1	102106	165190
GB_GCA_019414205.1	102106	1965294
GB_GCA_902496275.1	102106	165190
GB_GCA_958429345.1	102106	165190
GB_GCA_902478705.1	102106	165190
GB_GCA_902492755.1	102106	165190
GB_GCA_900551195.1	102106	165190
GB_GCA_958372075.1	102106	165190
GB_GCA_022720335.1	102106	1965294
GB_GCA_900542335.1	102106	165190
GB_GCA_900754435.1	102106	165190
GB_GCA_900547765.1	102106	165190
GB_GCA_938036665.1	102106	165190
RS_GCF_902364775.1	102106	147207
RS_GCF_001404695.1	102106	74426
GB_GCA_902494295.1	102106	165190
GB_GCA_900542905.1	102106	165190
GB_GCA_900542235.1	102106	165190
GB_GCA_900766165.1	102106	165190
RS_GCF_003439125.1	102106	2292326
GB_GCA_905197585.1	102106	165190
GB_GCA_902492935.1	102106	165190
GB_GCA_900550185.1	102106	165190
GB_GCA_902489225.1	102106	165190
RS_GCF_015548375.1	102106	74426
GB_GCA_900550735.1	102106	165190
GB_GCA_900752475.1	102106	165190
GB_GCA_905209765.1	102106	165190
GB_GCA_018368345.1	102106	1965294
GB_GCA_900543505.1	102106	165190
GB_GCA_900555955.1	102106	165190
GB_GCA_934646815.1	102106	165190
RS_GCF_902363845.1	102106	74426
GB_GCA_958427145.1	102106	165190
GB_GCA_900761805.1	102106	165190
GB_GCA_902497075.1	102106	165190
GB_GCA_900542965.1	102106	165190
GB_GCA_902494375.1	102106	165190
GB_GCA_900543045.1	102106	165190
GB_GCA_902474885.1	102106	165190
GB_GCA_900757235.1	102106	165190
GB_GCA_900543615.1	102106	165190
GB_GCA_902469185.1	102106	165190
GB_GCA_900544425.1	102106	165190
GB_GCA_934654625.1	102106	165190
GB_GCA_900543605.1	102106	165190
RS_GCF_000225705.1	102106	742742
GB_GCA_900765115.1	102106	165190
RS_GCF_025289055.1	102106	74426
RS_GCF_015552075.1	102106	74426
GB_GCA_900550785.1	102106	165190
GB_GCA_902493375.1	102106	165190
RS_GCF_902364885.1	102106	74426
GB_GCA_900751695.1	102106	165190
GB_GCA_900540975.1	102106	165190
GB_GCA_900555765.1	102106	165190
GB_GCA_902495945.1	102106	165190
GB_GCA_902479095.1	102106	165190
GB_GCA_949287055.1	102106	165190
GB_GCA_902478365.1	102106	165190
GB_GCA_959602645.1	102106	165190
GB_GCA_019419405.1	102106	1965294
GB_GCA_959602875.1	102106	165190
GB_GCA_902464575.1	102106	165190
GB_GCA_937934885.1	102106	165190
RS_GCF_015557435.1	102106	74426
GB_GCA_902489955.1	102106	165190
GB_GCA_902478545.1	102106	165190
GB_GCA_900546825.1	102106	165190
GB_GCA_900549195.1	102106	165190
GB_GCA_900547505.1	102106	165190
GB_GCA_900762355.1	102106	165190
GB_GCA_902491765.1	102106	165190
GB_GCA_934667065.1	102106	165190
GB_GCA_019419605.1	102106	1965294
GB_GCA_900540835.1	102106	165190
GB_GCA_900545875.1	102106	165190
RS_GCF_902364355.1	102106	74426
GB_GCA_031296755.1	102106	1965294
GB_GCA_902495085.1	102106	165190
GB_GCA_934650975.1	102106	165190
RS_GCF_003479805.1	102106	2292211
GB_GCA_900554465.1	102106	165190
GB_GCA_937896835.1	102106	165190
GB_GCA_900757205.1	102106	165190
GB_GCA_902491915.1	102106	165190
GB_GCA_900551815.1	102106	165190
GB_GCA_958437495.1	102106	165190
GB_GCA_902489945.1	102106	165190
GB_GCA_031294825.1	102106	1965294
GB_GCA_900752275.1	102106	165190
GB_GCA_934617135.1	102106	165190
GB_GCA_900545165.1	102106	165190
GB_GCA_019414425.1	102106	1965294
GB_GCA_900542825.1	102106	165190
GB_GCA_018365375.1	102106	1965294
GB_GCA_902475825.1	102106	165190
GB_GCA_900542555.1	102106	165190
GB_GCA_938033385.1	102106	165190
GB_GCA_958437935.1	102106	165190
GB_GCA_900544115.1	102106	165190
GB_GCA_958348225.1	102106	165190
RS_GCF_015555045.1	102106	74426
GB_GCA_905204365.1	102106	165190
GB_GCA_934646965.1	102106	165190
GB_GCA_937989875.1	102106	165190
GB_GCA_934643435.1	102106	165190
RS_GCF_003462685.1	102106	2292224
GB_GCA_900757385.1	102106	165190
GB_GCA_959606065.1	102106	165190
RS_GCF_003470665.1	102106	2292027
GB_GCA_900549245.1	102106	165190
GB_GCA_900545555.1	102106	165190
GB_GCA_902461085.1	102106	165190
GB_GCA_900547715.1	102106	165190
GB_GCA_900754385.1	102106	165190
GB_GCA_019424965.1	102106	1965294
GB_GCA_900540985.1	102106	165190
GB_GCA_019419455.1	102106	1965294
GB_GCA_902479135.1	102106	165190
GB_GCA_030841765.1	102106	74426
GB_GCA_902464965.1	102106	165190
GB_GCA_902470065.1	102106	165190
GB_GCA_902463875.1	102106	165190
GB_GCA_902388345.1	102106	165190
GB_GCA_900550415.1	102106	165190
RS_GCF_003436775.1	102106	2292336
GB_GCA_900549085.1	102106	165190
GB_GCA_902469665.1	102106	165190
GB_GCA_905209455.1	102106	165190
RS_GCF_003464565.1	102106	2292213
GB_GCA_902491345.1	102106	165190
RS_GCF_003459245.1	102106	2292222
GB_GCA_902479205.1	102106	165190
